,2025-03-21,2025-03-24,2025-03-25,2025-03-26,2025-03-27,2025-03-28,2025-03-31,2025-04-01,2025-04-02,2025-04-03,2025-04-04,2025-04-07,2025-04-08,2025-04-09,2025-04-10,2025-04-11,2025-04-14,2025-04-15,2025-04-16,2025-04-17,2025-04-18
135A.T,1941.0,2030.0,2084.0,2042.0,2047.0,2005.0,1930.0,2017.0,1962.0,1899.0,1780.0,1570.0,1745.0,1744.0,1845.0,1969.0,1986.0,2386.0,2372.0,2326.0,2760.0
137A.T,1165.0,1176.0,1178.0,1198.0,1193.0,1185.0,1167.0,1166.0,1154.0,1113.0,990.0,871.0,992.0,980.0,1048.0,1100.0,1320.0,1300.0,1509.0,1446.0,1330.0
145A.T,707.0,692.0,686.0,691.0,691.0,684.0,667.0,672.0,682.0,627.0,606.0,509.0,537.0,513.0,560.0,575.0,562.0,566.0,548.0,551.0,568.0
147A.T,930.0,927.0,919.0,922.0,916.0,920.0,907.0,883.0,889.0,875.0,812.0,694.0,764.0,703.0,757.0,766.0,767.0,795.0,777.0,807.0,800.0
148A.T,1593.0,1600.0,1624.0,1632.0,1605.0,1611.0,1599.0,1583.0,1522.0,1461.0,1303.0,1151.0,1269.0,1209.0,1240.0,1212.0,1290.0,1386.0,1380.0,1397.0,1403.0
149A.T,924.0,1074.0,1228.0,1225.0,1151.0,1209.0,1106.0,1318.0,1268.0,1145.0,1047.0,923.0,1021.0,1071.0,1170.0,1170.0,1175.0,1175.0,1155.0,1170.0,1181.0
153A.T,1045.0,1039.0,1002.0,1023.0,998.0,932.0,889.0,895.0,885.0,861.0,797.0,692.0,792.0,763.0,856.0,867.0,878.0,893.0,851.0,851.0,892.0
155A.T,446.0,432.0,438.0,440.0,438.0,440.0,434.0,431.0,421.0,400.0,374.0,308.0,354.0,335.0,373.0,395.0,396.0,398.0,386.0,394.0,404.0
2321.T,128.0,124.0,122.0,122.0,123.0,120.0,116.0,109.0,103.0,98.0,94.0,76.0,93.0,85.0,87.0,88.0,87.0,88.0,87.0,88.0,89.0
2351.T,350.98284912109375,351.9771423339844,353.9656982421875,357.9428405761719,348.0,344.0,341.0,340.0,339.0,334.0,310.0,286.0,302.0,292.0,314.0,304.0,319.0,310.0,305.0,314.0,315.0
3042.T,298.0,290.0,288.0,286.0,282.0,281.0,273.0,270.0,268.0,260.0,249.0,228.0,248.0,238.0,251.0,254.0,262.0,260.0,256.0,261.0,260.0
3622.T,535.898681640625,541.8311157226562,533.9212036132812,529.9662475585938,527.0,525.0,521.0,515.0,511.0,506.0,473.0,437.0,455.0,410.0,416.0,425.0,440.0,447.0,442.0,435.0,456.0
3623.T,1247.0,1190.0,1186.0,1205.0,1227.0,1226.0,1234.0,1155.0,1147.0,1116.0,1115.0,998.0,1068.0,1023.0,1105.0,1158.0,1118.0,1122.0,1129.0,1108.0,1138.0
3624.T,121.0,119.0,121.0,120.0,112.0,113.0,107.0,109.0,109.0,104.0,95.0,82.0,91.0,91.0,94.0,95.0,96.0,97.0,93.0,91.0,93.0
3625.T,681.0,675.0,677.0,677.0,670.0,680.0,658.0,652.0,659.0,643.0,583.0,484.0,544.0,533.0,573.0,602.0,601.0,613.0,619.0,629.0,650.0
3628.T,512.0,505.0,502.0,505.0,478.0,475.0,461.0,454.0,455.0,431.0,386.0,341.0,421.0,375.0,404.0,425.0,400.0,402.0,408.0,415.0,422.0
3645.T,327.0,325.0,325.0,322.0,320.0,320.0,316.0,315.0,317.0,311.0,294.0,270.0,284.0,284.0,289.0,292.0,296.0,296.0,297.0,303.0,303.0
3646.T,339.67926025390625,337.7547302246094,338.71697998046875,373.3584899902344,357.0,353.0,349.0,343.0,340.0,330.0,317.0,316.0,324.0,307.0,325.0,324.0,321.0,326.0,331.0,328.0,329.0
3652.T,1730.0,1765.0,1810.0,1890.0,1892.0,1761.0,1755.0,1706.0,1755.0,1670.0,1539.0,1305.0,1496.0,1435.0,1530.0,1617.0,1621.0,1607.0,1930.0,1830.0,1831.0
3653.T,1212.0,1225.0,1213.0,1218.0,1209.0,1218.0,1171.0,1156.0,1141.0,1113.0,1036.0,872.0,1009.0,969.0,1028.0,1044.0,1035.0,1036.0,1018.0,1042.0,1094.0
3664.T,36.0,36.0,38.0,37.0,35.0,35.0,36.0,34.0,34.0,33.0,31.0,29.0,31.0,31.0,32.0,32.0,33.0,34.0,32.0,33.0,33.0
3671.T,851.0,849.0,849.0,856.0,856.0,854.0,850.0,851.0,851.0,851.0,820.0,760.0,791.0,781.0,808.0,785.0,797.0,820.0,818.0,818.0,835.0
3674.T,371.0,369.0,368.0,371.0,370.0,375.0,376.0,375.0,367.0,372.0,354.0,318.0,342.0,337.0,348.0,349.0,353.0,354.0,359.0,366.0,368.0
3680.T,278.0,274.0,279.0,279.0,277.0,278.0,268.0,267.0,261.0,253.0,228.0,196.0,220.0,210.0,232.0,230.0,231.0,231.0,229.0,232.0,241.0
3690.T,582.0,581.0,579.0,575.0,581.0,575.0,568.0,551.0,551.0,550.0,531.0,506.0,517.0,514.0,530.0,534.0,532.0,533.0,530.0,532.0,540.0
3691.T,757.0,735.0,744.0,725.0,717.0,744.0,710.0,710.0,706.0,706.0,670.0,619.0,649.0,646.0,674.0,719.0,740.0,747.0,778.0,785.0,791.0
3692.T,3570.32421875,3739.86474609375,3759.810791015625,3784.7431640625,3690.0,3705.0,3440.0,3250.0,3045.0,3095.0,2934.0,2693.0,2942.0,2865.0,3070.0,3240.0,3220.0,3360.0,3260.0,3415.0,3400.0
3695.T,2970.0,2997.0,3015.0,3035.0,2996.0,2970.0,2958.0,2983.0,3025.0,2990.0,2786.0,2521.0,2669.0,2577.0,2740.0,2739.0,2772.0,2749.0,2715.0,2770.0,2880.0
3698.T,948.0,994.0,998.0,997.0,1011.0,992.0,979.0,930.0,945.0,953.0,900.0,806.0,882.0,821.0,869.0,873.0,899.0,921.0,913.0,934.0,934.0
3723.T,1180.0,1178.0,1186.0,1218.0,1200.0,1172.0,1175.0,1240.0,1238.0,1174.0,1107.0,1114.0,1150.0,1100.0,1153.0,1178.0,1164.0,1197.0,1191.0,1190.0,1181.0
3727.T,140.0,141.0,141.0,151.0,150.0,151.0,146.0,149.0,155.0,154.0,143.0,122.0,137.0,142.0,151.0,151.0,150.0,154.0,159.0,164.0,160.0
3773.T,896.0,899.0,906.0,910.0,910.0,900.0,870.0,872.0,869.0,856.0,794.0,707.0,785.0,757.0,798.0,813.0,813.0,814.0,807.0,816.0,836.0
3777.T,35.0,37.0,37.0,35.0,37.0,37.0,38.0,35.0,38.0,37.0,34.0,30.0,33.0,32.0,34.0,34.0,35.0,34.0,34.0,34.0,35.0
3793.T,614.0,601.0,589.0,596.0,600.0,586.0,573.0,543.0,549.0,532.0,497.0,422.0,482.0,457.0,487.0,500.0,508.0,508.0,494.0,503.0,526.0
3803.T,479.0,478.0,481.0,485.0,481.0,481.0,470.0,474.0,468.0,453.0,413.0,378.0,400.0,380.0,395.0,404.0,477.0,508.0,450.0,437.0,439.0
3807.T,155.0,153.0,160.0,154.0,151.0,145.0,142.0,142.0,140.0,136.0,130.0,110.0,125.0,120.0,128.0,129.0,129.0,126.0,126.0,131.0,133.0
3814.T,360.0,355.0,350.0,360.0,357.0,353.0,350.0,343.0,340.0,329.0,311.0,265.0,307.0,302.0,314.0,322.0,324.0,329.0,329.0,332.0,328.0
3815.T,509.0,508.0,507.0,502.0,500.0,508.0,504.0,509.0,507.0,504.0,495.0,470.0,499.0,497.0,503.0,500.0,506.0,509.0,507.0,510.0,516.0
